model,shock,family,design,treatment,outcome,opp,n_specs,n_p05,n_p10,share_p05,share_p10,median_beta,median_t,median_abs_t,min_p,max_p,modal_sign,sign_consistency,min_treated_firms,min_control_firms,median_nobs,robust_score,robust_candidate
firm_did,SO2_ALLOWANCE_1995,carbon,national,pre_energy_any,hhi,,3,1,1,0.3333333333333333,0.3333333333333333,0.008028950876151617,1.0412887478245647,1.0412887478245647,0.04728378602774175,0.7189162914526335,1.0,0.6666666666666666,665,7259,70989,4.187311040578949,False
firm_did,RGGI_2009,carbon,regional,pre_carbon_high25,n_op_seg,,3,1,1,0.3333333333333333,0.3333333333333333,0.04130886707678539,0.26643085251800797,0.5972018369982043,0.04052068419498456,0.789917423502275,1.0,0.6666666666666666,15,333,3790,3.9652675851657686,False
firm_did,WTI_1983,oil,national,pre_oilgas_any,hhi,,3,0,2,0.0,0.6666666666666666,0.013256803476225144,1.8934763604763738,1.8934763604763738,0.05564191732851409,0.11881651869798548,1.0,1.0,668,4997,52394,3.946738180238187,False
rsz,FERC636_1992,gas,national,energy_segment,rel_inv,sgrow,6,0,2,0.0,0.3333333333333333,0.017381522276006,1.52274437574077,1.52274437574077,0.06888698821289974,0.18008465451881017,1.0,1.0,385,1901,41970,3.7613721878703847,False
rsz,NATGAS_1990,gas,national,energy_segment,rel_inv,sgrow,6,0,2,0.0,0.3333333333333333,0.01756026407237566,1.4477945083955288,1.4477945083955288,0.05543487242067857,0.44262109884012557,1.0,1.0,412,2074,43755,3.723897254197764,False
rsz,NATGAS_1990,gas,national,gas_segment,rel_inv,sgrow,6,0,2,0.0,0.3333333333333333,-0.024712074222413817,-1.4098242263093406,1.4098242263093406,0.0964113211184634,0.5720076939498298,-1.0,1.0,123,2173,43755,3.7049121131546703,False
rsz,NATGAS_1990,gas,national,pre_energy_any,rel_inv,l_margin,6,0,2,0.0,0.3333333333333333,-0.01776454658739078,-1.3562838403868351,1.3562838403868351,0.056298359293238454,0.5536752801076545,-1.0,1.0,371,1803,43755,3.6781419201934176,False
rsz,RGGI_2009,carbon,regional,pre_carbon_any,rel_inv,sgrow,6,0,2,0.0,0.3333333333333333,-0.005167244506549211,-0.7698053035775703,1.3132571609008772,0.09110206231625817,0.49169309510521275,-1.0,0.6666666666666666,107,2541,52626,3.3232952471171053,False
rsz,RGGI_2009,carbon,regional,pre_carbon_share_z,rel_inv,sgrow,6,0,2,0.0,0.3333333333333333,0.0018720812781284524,0.634466594827438,0.634466594827438,0.06624841824014127,0.9800191899222266,1.0,1.0,511,2137,52626,3.317233297413719,False
rsz,CARBON_STACK_2009_2013,carbon,stacked_regional,pre_carbon_any,rel_inv,sgrow,6,0,2,0.0,0.3333333333333333,-0.003997383314727195,-0.7347482170499202,0.8930002311484557,0.08649294070829394,0.47093194218918155,-1.0,0.6666666666666666,130,2909,89941,3.1131667822408944,False
rsz,CARBON_STACK_2009_2013,carbon,stacked_regional,pre_carbon_high25,rel_inv,sgrow,6,0,2,0.0,0.3333333333333333,0.0012784751908868643,0.22886324016903792,0.4934860467257045,0.0786873115176061,0.8769020645294918,1.0,0.6666666666666666,111,2923,89941,2.9134096900295186,False
firm_did,GAS_SPIKE_2001,gas,national,pre_energy_any,n_op_seg,,3,0,1,0.0,0.3333333333333333,-0.08937794634039824,-1.5928233760810546,1.5928233760810546,0.07151350611414498,0.23915456614252384,-1.0,1.0,514,7482,72297,2.796411688040527,False
rsz,NATGAS_1990,gas,national,pre_oilgas_any,rel_inv,sgrow,6,0,1,0.0,0.16666666666666666,0.019975613947886828,1.401776680442509,1.401776680442509,0.07149770080300266,0.349863546962929,1.0,1.0,276,1898,43755,2.7008883402212547,False
firm_did,WTI_1983,oil,national,pre_oilgas_any,n_op_seg,,3,0,1,0.0,0.3333333333333333,-0.058957499342962884,-1.2828777242267264,1.2828777242267264,0.09516368026574118,0.2901752885605169,-1.0,1.0,668,5005,52538,2.6414388621133633,False
rsz,RGGI_2009,carbon,regional,pre_carbon_high25,rel_inv,sgrow,6,0,2,0.0,0.3333333333333333,-7.869838075566927e-05,-0.010901406407146513,0.2574065459593057,0.058514716108294174,0.9461700253314187,1.0,0.5,94,2554,52626,2.628703272979653,False
firm_did,WTI_1983,oil,national,pre_energy_any,log_nseg,,3,0,1,0.0,0.3333333333333333,0.011255884694856059,1.1981565796615208,1.1981565796615208,0.08643145478904812,0.5930560491665986,1.0,1.0,854,4816,52538,2.5990782898307603,False
firm_did,EU_ETS_2005,carbon,national,pre_carbon_share_z,n_op_seg,,3,0,1,0.0,0.3333333333333333,-0.011841088333312847,-1.126142706589928,1.126142706589928,0.08460168285542524,0.7569157682968854,-1.0,1.0,7536,0,68070,2.563071353294964,False
firm_did,OIL_COLLAPSE_1986,oil,national,pre_energy_any,hhi,,3,0,1,0.0,0.3333333333333333,-0.007340507894637842,-1.081824693837279,1.081824693837279,0.0695786504756788,0.43860090437599797,-1.0,1.0,798,5441,56237,2.5409123469186397,False
firm_did,WTI_1983,oil,national,pre_energy_any,multi_seg,,3,0,1,0.0,0.3333333333333333,0.012585410727784485,1.05873541417965,1.05873541417965,0.05029585104755263,0.6571864751893863,1.0,1.0,854,4816,52538,2.529367707089825,False
rsz,EU_ETS_2005,carbon,national,carbon_segment,rel_inv,l_margin,6,0,1,0.0,0.16666666666666666,-0.007193127136329729,-0.9118785280300566,0.9118785280300566,0.09823467867704139,0.731607104669409,-1.0,1.0,785,2780,59404,2.4559392640150284,False
