model,shock,family,design,event_year,span,window_start,window_end,sample,outcome,opp,treatment,treatment_col,treatment_scope,note,status,beta,se,t,p,nobs,firms,treated_firms,control_firms,rows
rsz,OIL_COLLAPSE_1986,oil,national,1986,7,1979,1993,all_multiseg,rel_inv,sgrow,oilgas_segment,seg_oilgas,segment,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,-0.011570107118604758,0.01168834059569834,-0.9898844941995363,0.32223493200048625,71754.0,4130.0,590.0,4055.0,71754.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,7,1979,1993,pre_multiseg,rel_inv,l_margin,oilgas_segment,seg_oilgas,segment,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,-0.010331973653801257,0.016648785766604765,-0.6205842154883039,0.5348759951372217,65345.0,3265.0,493.0,3209.0,65345.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,7,1979,1993,pre_multiseg,rel_inv,sgrow,oilgas_segment,seg_oilgas,segment,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,-0.008985307326486516,0.01308670317518281,-0.686598236867323,0.4923390548750157,65345.0,3265.0,493.0,3209.0,65345.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,3,1983,1989,all_multiseg,rel_inv,l_margin,pre_oilgas_any,share_oilgas,firm_pre_binary,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,-0.002056973601270961,0.014827044631600889,-0.138731193732764,0.8896638580179406,31826.0,2934.0,408.0,2526.0,31826.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,3,1983,1989,all_multiseg,rel_inv,sgrow,pre_oilgas_any,share_oilgas,firm_pre_binary,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,0.008238520827848832,0.014676303696613938,0.5613484837977012,0.5745658072461008,31826.0,2934.0,408.0,2526.0,31826.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,3,1983,1989,pre_multiseg,rel_inv,l_margin,pre_oilgas_any,share_oilgas,firm_pre_binary,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,-0.005368398656004719,0.014456673988624155,-0.3713439661314263,0.7103851087162341,29973.0,2475.0,394.0,2081.0,29973.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,3,1983,1989,pre_multiseg,rel_inv,sgrow,pre_oilgas_any,share_oilgas,firm_pre_binary,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,0.011619295377453012,0.01422503810190867,0.816819982780501,0.4140405953275077,29973.0,2475.0,394.0,2081.0,29973.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,5,1981,1991,all_multiseg,rel_inv,l_margin,pre_oilgas_any,share_oilgas,firm_pre_binary,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,0.017986349826792505,0.015050991514608618,1.1950275707307922,0.2320837418257935,51409.0,3550.0,476.0,3074.0,51409.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,5,1981,1991,all_multiseg,rel_inv,sgrow,pre_oilgas_any,share_oilgas,firm_pre_binary,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,-0.0033594918689139426,0.011715952658256526,-0.28674508739555415,0.7743090804659503,51409.0,3550.0,476.0,3074.0,51409.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,5,1981,1991,pre_multiseg,rel_inv,l_margin,pre_oilgas_any,share_oilgas,firm_pre_binary,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,0.015774250737929794,0.015352790028412378,1.0274517340976752,0.30421475088342675,47480.0,2882.0,453.0,2429.0,47480.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,5,1981,1991,pre_multiseg,rel_inv,sgrow,pre_oilgas_any,share_oilgas,firm_pre_binary,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,-0.0004345689009649789,0.011757194848663671,-0.03696195449328394,0.9705155472181297,47480.0,2882.0,453.0,2429.0,47480.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,7,1979,1993,all_multiseg,rel_inv,l_margin,pre_oilgas_any,share_oilgas,firm_pre_binary,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,0.011929089940185473,0.014576413490215073,0.8183830644069813,0.4131420329752249,71754.0,4130.0,522.0,3608.0,71754.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,7,1979,1993,all_multiseg,rel_inv,sgrow,pre_oilgas_any,share_oilgas,firm_pre_binary,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,-0.0018824397277163703,0.00971071744780555,-0.19385176613719393,0.8462926677878122,71754.0,4130.0,522.0,3608.0,71754.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,7,1979,1993,pre_multiseg,rel_inv,l_margin,pre_oilgas_any,share_oilgas,firm_pre_binary,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,0.008755985009850841,0.014994141473177415,0.5839604105052743,0.5592495250795746,65345.0,3265.0,494.0,2771.0,65345.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,7,1979,1993,pre_multiseg,rel_inv,sgrow,pre_oilgas_any,share_oilgas,firm_pre_binary,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,-0.00036084122645195206,0.009968590507910343,-0.0361978181534907,0.971124767082097,65345.0,3265.0,494.0,2771.0,65345.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,3,1983,1989,all_multiseg,rel_inv,l_margin,pre_oilgas_share_z,share_oilgas,firm_pre_continuous,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,-0.0009569213744571417,0.0059743411574626655,-0.1601718665265429,0.8727471851446582,31826.0,2934.0,2688.0,246.0,31826.0
rsz,OIL_COLLAPSE_1986,oil,national,1986,3,1983,1989,all_multiseg,rel_inv,sgrow,pre_oilgas_share_z,share_oilgas,firm_pre_continuous,Exploratory oil price-collapse shock; not a derivative-availability event.,ok,-0.0018515414722882404,0.005738910685579186,-0.3226294280795865,0.7469790203809485,31826.0,2934.0,2688.0,246.0,31826.0
