status,k,beta,se,t,p,nobs,firms,shock,treatment,outcome,span,check
ok,5,0.04239301968752886,0.01801643379089421,2.3530194809671467,0.01862439360816137,83449,13021,EU_ETS_2005,pre_energy_any,log_nseg,5,event_study
ok,-5,-0.020899642686238055,0.004495485290722721,-4.649029267066761,3.341836494863415e-06,74164,11858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,5,event_study
ok,-4,-0.024670632130468526,0.003857638246852542,-6.395268439335224,1.6139711789264766e-10,74164,11858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,5,event_study
ok,-3,-0.01578967438353,0.003266435879992004,-4.833915302071888,1.3419196782660237e-06,74164,11858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,5,event_study
ok,-2,-0.010678022234077846,0.002293354722666079,-4.656070920273683,3.2296462395553505e-06,74164,11858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,5,event_study
ok,0,0.01898571155130128,0.002758240511106774,6.88326905317008,5.9046101341664325e-12,74164,11858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,5,event_study
ok,1,0.02694436010391532,0.003622231511055635,7.438607946973237,1.0302869668521453e-13,74164,11858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,5,event_study
ok,2,0.037866681606655114,0.0043739215082191,8.657375660605542,0.0,74164,11858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,5,event_study
ok,3,0.04123737036884939,0.004849359750216147,8.503673163660697,0.0,74164,11858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,5,event_study
ok,4,0.03969957018042947,0.005718032565781338,6.942872347038608,3.879563337250147e-12,74164,11858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,5,event_study
ok,5,0.04105446012292058,0.006153724699167192,6.671481440903042,2.5534463432563825e-11,74164,11858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,5,event_study
ok,-5,-0.03186424183845965,0.003709682621151852,-8.58947923382347,0.0,83153,13963,NATGAS_1990,pre_energy_share_z,log_nseg,5,event_study
ok,-4,-0.016601546792807426,0.003405945192168011,-4.874284774453438,1.0944483705976893e-06,83153,13963,NATGAS_1990,pre_energy_share_z,log_nseg,5,event_study
ok,-3,-0.010676787188880564,0.00283132918703606,-3.770945193433131,0.00016276563489348028,83153,13963,NATGAS_1990,pre_energy_share_z,log_nseg,5,event_study
ok,-2,-0.0016316259244484035,0.0021781836910744158,-0.7490763663020469,0.4538137260757895,83153,13963,NATGAS_1990,pre_energy_share_z,log_nseg,5,event_study
ok,0,-0.0003412951614422522,0.0018483224313249303,-0.18465131172898339,0.8535030783103237,83153,13963,NATGAS_1990,pre_energy_share_z,log_nseg,5,event_study
ok,1,0.002761506488310298,0.0025255984820581655,1.0934067738510382,0.27421904859276625,83153,13963,NATGAS_1990,pre_energy_share_z,log_nseg,5,event_study
ok,2,0.0023881765689718172,0.0030505809369257126,0.7828595989911852,0.43371224470114234,83153,13963,NATGAS_1990,pre_energy_share_z,log_nseg,5,event_study
ok,3,0.0037525739695205146,0.0034803068846760055,1.0782307692586872,0.2809345438786772,83153,13963,NATGAS_1990,pre_energy_share_z,log_nseg,5,event_study
ok,4,0.005273742600121147,0.0038348678927297123,1.375208415945516,0.16907129385064823,83153,13963,NATGAS_1990,pre_energy_share_z,log_nseg,5,event_study
