status,beta,se,t,p,nobs,firms,t_std,t_p25,t_p75,shock,treatment,outcome,dropped_k,span,check
ok,-0.008437312994283644,0.0017126993136772147,-4.926324735991451,8.40464424278764e-07,59084,6852,1.0143540860216729,-0.30335483928172946,-0.30335483928172946,FERC636_1992,pre_energy_share_z,hhi,3,5,leave_one_relative_year
ok,-0.008476229075939866,0.0017051640522410697,-4.9709170591531615,6.684613562679687e-07,59433,6852,1.0143540860216729,-0.30335483928172946,-0.30335483928172946,FERC636_1992,pre_energy_share_z,hhi,4,5,leave_one_relative_year
ok,-0.007874160207416596,0.0017137050066865123,-4.59481659719339,4.341279345121407e-06,59775,6845,1.0136795543788588,-0.30335483928172946,-0.30335483928172946,FERC636_1992,pre_energy_share_z,hhi,5,5,leave_one_relative_year
ok,-0.014793046816130717,0.003643113056802749,-4.060551123580369,4.902075763046909e-05,66475,8032,0.9952400202739491,-0.24894562118798486,-0.24894562118798486,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,-5,5,leave_one_relative_year
ok,-0.015362870354842916,0.0036495435447586547,-4.209532004874014,2.5628426817192462e-05,66171,8034,0.9951237450506237,-0.24894562118798486,-0.24894562118798486,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,-4,5,leave_one_relative_year
ok,-0.015682964717828922,0.004027932564709873,-3.893551956463438,9.889877101865174e-05,65420,8032,0.9952400202739491,-0.24894562118798486,-0.24894562118798486,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,-3,5,leave_one_relative_year
ok,-0.019158185038966692,0.004386238713178185,-4.367793522365097,1.25729882543002e-05,64860,8030,0.9941735193779607,-0.24894562118798486,-0.24894562118798486,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,-2,5,leave_one_relative_year
ok,-0.020097603138692167,0.00465803428445355,-4.31461039386701,1.601656469008006e-05,62047,7511,0.9960438637586225,-0.24894562118798486,-0.24894562118798486,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,-1,5,leave_one_relative_year
ok,-0.016473107813243154,0.004384104334531166,-3.7574625410927367,0.00017182546522831466,61262,7253,1.0027633007108867,-0.24894562118798486,-0.24894562118798486,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,0,5,leave_one_relative_year
ok,-0.017608616859910664,0.004116532360813829,-4.277536362286602,1.892799289726632e-05,65153,8030,0.9941735193779607,-0.24894562118798486,-0.24894562118798486,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,1,5,leave_one_relative_year
ok,-0.01715534989534473,0.00391793850291285,-4.378667475916308,1.1961669017734877e-05,65817,8032,0.9952400202739491,-0.24894562118798486,-0.24894562118798486,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,2,5,leave_one_relative_year
ok,-0.017029460354388806,0.0038823144804326962,-4.386419606196049,1.1543378465539433e-05,66251,8033,0.995181877596934,-0.24894562118798486,-0.24894562118798486,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,3,5,leave_one_relative_year
ok,-0.015930797595292697,0.00392369074632987,-4.060156272558942,4.9103386010163064e-05,66774,8034,0.9951237450506237,-0.24894562118798486,-0.24894562118798486,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,4,5,leave_one_relative_year
ok,-0.016286578094539313,0.003926264337601673,-4.148110441409515,3.35698092579495e-05,67197,8019,0.9937359004284174,-0.24894562118798486,-0.24894562118798486,GAS_SPIKE_2001,pre_energy_share_z,multi_seg,5,5,leave_one_relative_year
ok,-0.04193951095448284,0.010356820413136538,-4.0494581620134085,5.1406759852046235e-05,62490,7577,0.2702538224771348,0.0,0.0,EU_ETS_2005,pre_energy_any,log_nseg,-5,5,leave_one_relative_year
ok,-0.04435959677334371,0.010349881546163217,-4.286000431549689,1.8222990117333637e-05,62209,7590,0.27045241469864895,0.0,0.0,EU_ETS_2005,pre_energy_any,log_nseg,-4,5,leave_one_relative_year
ok,-0.044472522275707284,0.010784537837596886,-4.123730005440556,3.733396262028954e-05,61908,7591,0.2704361350470698,0.0,0.0,EU_ETS_2005,pre_energy_any,log_nseg,-3,5,leave_one_relative_year
ok,-0.04659720524694564,0.011264012311114941,-4.136821228521307,3.526832714140227e-05,61544,7589,0.2704686972556579,0.0,0.0,EU_ETS_2005,pre_energy_any,log_nseg,-2,5,leave_one_relative_year
ok,-0.05037536476349973,0.011961993114949566,-4.211285216386125,2.5437379878257005e-05,55739,6624,0.2837742002765173,0.0,0.0,EU_ETS_2005,pre_energy_any,log_nseg,-1,5,leave_one_relative_year
ok,-0.05021133979031963,0.012097988045750572,-4.150387618208666,3.324523212655528e-05,57814,6950,0.27286579445139825,0.0,0.0,EU_ETS_2005,pre_energy_any,log_nseg,0,5,leave_one_relative_year
ok,-0.04971165529770412,0.011344912641193935,-4.381845578713286,1.1790143571666079e-05,61189,7584,0.27055015365196017,0.0,0.0,EU_ETS_2005,pre_energy_any,log_nseg,1,5,leave_one_relative_year
ok,-0.04666365710999855,0.01074529752801824,-4.342704982186263,1.4099404288758777e-05,61827,7590,0.27045241469864895,0.0,0.0,EU_ETS_2005,pre_energy_any,log_nseg,2,5,leave_one_relative_year
ok,-0.043461942310567055,0.010509864145943517,-4.135347679764445,3.549453838802563e-05,62360,7590,0.27045241469864895,0.0,0.0,EU_ETS_2005,pre_energy_any,log_nseg,3,5,leave_one_relative_year
ok,-0.040273018311727346,0.01024935174095343,-3.929323466459646,8.528896340176395e-05,62748,7590,0.27045241469864895,0.0,0.0,EU_ETS_2005,pre_energy_any,log_nseg,4,5,leave_one_relative_year
ok,-0.0419625350491805,0.01041426028663747,-4.029334191216884,5.600947028150394e-05,63133,7586,0.2703125125031238,0.0,0.0,EU_ETS_2005,pre_energy_any,log_nseg,5,5,leave_one_relative_year
ok,0.012204571000631178,0.0028814155841129685,4.235616364374008,2.2836637190382092e-05,52480,6273,0.9354384618761197,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,-5,5,leave_one_relative_year
ok,0.012166609868385699,0.0029124867843212995,4.17739573407915,2.954115988296202e-05,52066,6275,0.9353191166728217,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,-4,5,leave_one_relative_year
ok,0.013077894078718705,0.002958126982726954,4.421004965332092,9.847111651417606e-06,51574,6275,0.9353191166728217,-0.3038856433758858,-0.3038856433758858,OIL_COLLAPSE_1986,pre_oilgas_share_z,log_nseg,-3,5,leave_one_relative_year
